1||0,-7||566,961,749,980,224
2||-2,0||100,637,551
3||7,-5||749,148,189,284
4||7,4||75,556,520,300
5||-6,10||29,764,334,205,466
6||-9,0||817,473,257,258
7||-4,-10||847,14,915,248
8||-9,-5||432,925,323,199
9||0,4||152,497
10||-3,-9||402,358
11||-3,4||329,413,331
12||-10,9||355,102,458
13||6,3||813,760
14||-3,2||557,598,885,911,65
15||-6,8||700,618,951,986,533
16||-7,4||986,567,406,165
17||3,1||93,849,118,478,495
18||-6,1||161,859
19||-6,8||100,626,831,637
20||8,9||636,678,27
21||-10,3||105,866,707,702
22||6,5||703,622,269,356,107
23||-7,-2||860,365,181
24||-5,3||673,630,750
25||10,-9||181,94
26||-10,5||434,949,852,429
27||7,7||489,205,327,606,929
28||-2,-7||369,185,888,87,216
29||7,-7||338,846,496,141
30||7,2||537,232,472,257,863
